epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
241,1.033857,1.047172,1.047172,0,1.10e-06,4.2,1
242,1.033220,1.047161,1.047161,0,8.69e-07,4.2,1
243,1.034402,1.047133,1.047133,0,6.66e-07,4.2,1
244,1.033950,1.047124,1.047124,0,4.89e-07,4.2,1
245,1.034728,1.047138,1.047124,1,3.40e-07,4.2,0
246,1.034664,1.047141,1.047124,2,2.17e-07,4.2,0
247,1.034688,1.047137,1.047124,3,1.22e-07,4.2,0
248,1.034247,1.047135,1.047124,4,5.44e-08,4.2,0
249,1.034184,1.047135,1.047124,5,1.36e-08,4.2,0
250,1.033074,1.047135,1.047124,6,0.00e+00,4.2,0
